"IDpol","ClaimNb","Exposure","Area","VehPower","VehAge","DrivAge","BonusMalus","VehBrand","VehGas","Density","Region","ClaimAmount"
5025695,0,0.07,"C",11,0,54,50,"B12","Diesel",291,"R73",0
2264521,0,0.23,"C",5,13,39,50,"B5","Regular",152,"R91",0
1142905,0,1,"A",7,9,29,54,"B2","Diesel",10,"R24",0
5047229,0,0.1,"B",5,1,50,50,"B12","Regular",73,"R91",0
2286944,0,0.52,"E",6,1,37,51,"B3","Diesel",3317,"R93",0
3159251,0,0.14,"D",4,1,40,54,"B1","Diesel",761,"R82",0
1003731,0,0.12,"D",5,1,25,90,"B12","Regular",1287,"R72",0
3161304,0,0.03,"C",6,6,48,50,"B6","Regular",399,"R24",0
1051583,0,0.25,"D",7,10,37,60,"B2","Diesel",564,"R11",0
1188872,0,0.22,"C",4,0,55,68,"B1","Diesel",245,"R93",0
172795,0,0.36,"E",5,12,30,57,"B3","Diesel",2472,"R82",0
1077734,0,1,"D",5,14,32,50,"B2","Diesel",501,"R11",0
2118504,0,0.47,"C",5,13,22,95,"B3","Regular",467,"R82",0
2141508,0,0.49,"B",7,1,44,50,"B10","Diesel",64,"R52",0
3175189,0,0.18,"A",4,17,21,90,"B3","Diesel",27,"R24",0
2064879,0,0.45,"D",6,4,43,50,"B3","Regular",1962,"R82",0
3050485,0,1,"A",4,7,87,50,"B2","Regular",43,"R54",0
3110046,0,1,"A",6,8,32,50,"B13","Diesel",20,"R24",0
38214,0,1,"C",8,10,67,50,"B1","Diesel",133,"R24",0
6101352,0,0.17,"C",8,2,26,85,"B12","Regular",374,"R93",0
3028596,0,0.41,"C",7,1,28,64,"B12","Diesel",307,"R93",0
4159794,0,1,"C",7,8,50,50,"B10","Diesel",405,"R24",0
2284275,0,0.08,"C",7,14,31,76,"B2","Regular",374,"R93",0
4136943,0,1,"C",6,19,38,50,"B1","Diesel",155,"R24",0
2120098,0,0.2,"D",7,17,29,60,"B5","Diesel",1408,"R52",0
1098673,0,1,"D",5,9,78,52,"B1","Regular",854,"R82",0
2077100,0,0.75,"C",6,7,49,50,"B1","Diesel",199,"R82",0
